INFO: Starting clustering fine-tuning sweep for kmeans (7 combinations)
INFO: Evaluating combination 1/7: {'n_clusters': 2}
INFO: Evaluating combination 2/7: {'n_clusters': 3}
INFO: Evaluating combination 3/7: {'n_clusters': 4}
INFO: Evaluating combination 4/7: {'n_clusters': 5}
INFO: Evaluating combination 5/7: {'n_clusters': 6}
INFO: Evaluating combination 6/7: {'n_clusters': 8}
INFO: Evaluating combination 7/7: {'n_clusters': 10}
INFO: [kmeans] tuning results written to results/lesion/dim_reduction_clustering/tsne/kmeans/tuning/29-07_s1.1_volOFF_p30 (7 combination(s) evaluated)
INFO: Starting clustering fine-tuning sweep for agglomerative (28 combinations)
INFO: Evaluating combination 1/28: {'n_clusters': 2, 'linkage': 'ward'}
INFO: Evaluating combination 24/28: {'n_components': 8, 'covariance_type': 'spherical'}
INFO: Evaluating combination 25/28: {'n_components': 10, 'covariance_type': 'full'}
INFO: Evaluating combination 26/28: {'n_components': 10, 'covariance_type': 'tied'}
INFO: Evaluating combination 27/28: {'n_components': 10, 'covariance_type': 'diag'}
INFO: Evaluating combination 28/28: {'n_components': 10, 'covariance_type': 'spherical'}
INFO: [gmm] tuning results written to results/lesion/dim_reduction_clustering/tsne/gmm/tuning/29-07_s1.1_volOFF_p30 (28 combination(s) evaluated)
INFO: Starting clustering fine-tuning sweep for dbscan (18 combinations)
INFO: Evaluating combination 1/18: {'eps': 0.3, 'min_samples': 3}
INFO: Evaluating combination 2/18: {'eps': 0.3, 'min_samples': 5}
WARNING: cannot compute silhouette/calinski_harabasz/davies_bouldin: 1 non-noise cluster(s) found (need 2..n-1) - degenerate combination, recording NaN
INFO: Evaluating combination 3/18: {'eps': 0.3, 'min_samples': 10}
WARNING: cannot compute silhouette/calinski_harabasz/davies_bouldin: 0 non-noise cluster(s) found (need 2..n-1) - degenerate combination, recording NaN
INFO: Evaluating combination 4/18: {'eps': 0.5, 'min_samples': 3}
INFO: Evaluating combination 5/18: {'eps': 0.5, 'min_samples': 5}
INFO: Evaluating combination 6/18: {'eps': 0.5, 'min_samples': 10}
WARNING: cannot compute silhouette/calinski_harabasz/davies_bouldin: 0 non-noise cluster(s) found (need 2..n-1) - degenerate combination, recording NaN
INFO: Evaluating combination 7/18: {'eps': 0.7, 'min_samples': 3}
INFO: Evaluating combination 8/18: {'eps': 0.7, 'min_samples': 5}
INFO: Evaluating combination 9/18: {'eps': 0.7, 'min_samples': 10}
WARNING: cannot compute silhouette/calinski_harabasz/davies_bouldin: 1 non-noise cluster(s) found (need 2..n-1) - degenerate combination, recording NaN
INFO: Evaluating combination 10/18: {'eps': 1.0, 'min_samples': 3}
INFO: Evaluating combination 11/18: {'eps': 1.0, 'min_samples': 5}
INFO: Evaluating combination 12/18: {'eps': 1.0, 'min_samples': 10}
WARNING: cannot compute silhouette/calinski_harabasz/davies_bouldin: 1 non-noise cluster(s) found (need 2..n-1) - degenerate combination, recording NaN
INFO: Evaluating combination 13/18: {'eps': 1.5, 'min_samples': 3}
INFO: Evaluating combination 14/18: {'eps': 1.5, 'min_samples': 5}
INFO: Evaluating combination 15/18: {'eps': 1.5, 'min_samples': 10}
INFO: Evaluating combination 16/18: {'eps': 2.0, 'min_samples': 3}
INFO: Evaluating combination 17/18: {'eps': 2.0, 'min_samples': 5}
INFO: Evaluating combination 18/18: {'eps': 2.0, 'min_samples': 10}
INFO: [dbscan] k-distance plot written to results/lesion/dim_reduction_clustering/tsne/dbscan/tuning/29-07_s1.1_volOFF_p30/k_distance_plot.png
INFO: [dbscan] tuning results written to results/lesion/dim_reduction_clustering/tsne/dbscan/tuning/29-07_s1.1_volOFF_p30 (18 combination(s) evaluated)
INFO: Starting clustering fine-tuning sweep for spectral (48 combinations)
INFO: Evaluating combination 1/48: {'n_clusters': 2, 'n_neighbors': 10}
INFO: Evaluating combination 2/48: {'n_clusters': 2, 'n_neighbors': 30}
INFO: Evaluating combination 3/48: {'n_clusters': 2, 'n_neighbors': 50}
INFO: Evaluating combination 4/48: {'n_clusters': 2, 'n_neighbors': 100}
INFO: Evaluating combination 5/48: {'n_clusters': 3, 'n_neighbors': 10}
INFO: Evaluating combination 6/48: {'n_clusters': 3, 'n_neighbors': 30}
INFO: Evaluating combination 7/48: {'n_clusters': 3, 'n_neighbors': 50}
INFO: Evaluating combination 8/48: {'n_clusters': 3, 'n_neighbors': 100}
INFO: Evaluating combination 9/48: {'n_clusters': 4, 'n_neighbors': 10}
INFO: Evaluating combination 10/48: {'n_clusters': 4, 'n_neighbors': 30}
INFO: Evaluating combination 11/48: {'n_clusters': 4, 'n_neighbors': 50}
INFO: Evaluating combination 12/48: {'n_clusters': 4, 'n_neighbors': 100}
INFO: Evaluating combination 13/48: {'n_clusters': 5, 'n_neighbors': 10}
INFO: Evaluating combination 14/48: {'n_clusters': 5, 'n_neighbors': 30}
INFO: Evaluating combination 15/48: {'n_clusters': 5, 'n_neighbors': 50}
INFO: Evaluating combination 16/48: {'n_clusters': 5, 'n_neighbors': 100}
INFO: Evaluating combination 17/48: {'n_clusters': 6, 'n_neighbors': 10}
INFO: Evaluating combination 18/48: {'n_clusters': 6, 'n_neighbors': 30}
INFO: Evaluating combination 19/48: {'n_clusters': 6, 'n_neighbors': 50}
INFO: Evaluating combination 20/48: {'n_clusters': 6, 'n_neighbors': 100}
INFO: Evaluating combination 21/48: {'n_clusters': 8, 'n_neighbors': 10}
INFO: Evaluating combination 22/48: {'n_clusters': 8, 'n_neighbors': 30}
INFO: Evaluating combination 23/48: {'n_clusters': 8, 'n_neighbors': 50}
INFO: Evaluating combination 24/48: {'n_clusters': 8, 'n_neighbors': 100}
INFO: Evaluating combination 25/48: {'n_clusters': 10, 'n_neighbors': 10}
INFO: Evaluating combination 26/48: {'n_clusters': 10, 'n_neighbors': 30}
INFO: Evaluating combination 27/48: {'n_clusters': 10, 'n_neighbors': 50}
INFO: Evaluating combination 28/48: {'n_clusters': 10, 'n_neighbors': 100}
INFO: Evaluating combination 29/48: {'n_clusters': 11, 'n_neighbors': 10}
INFO: Evaluating combination 30/48: {'n_clusters': 11, 'n_neighbors': 30}
INFO: Evaluating combination 31/48: {'n_clusters': 11, 'n_neighbors': 50}
INFO: Evaluating combination 32/48: {'n_clusters': 11, 'n_neighbors': 100}
INFO: Evaluating combination 33/48: {'n_clusters': 12, 'n_neighbors': 10}
INFO: Evaluating combination 34/48: {'n_clusters': 12, 'n_neighbors': 30}
INFO: Evaluating combination 35/48: {'n_clusters': 12, 'n_neighbors': 50}
INFO: Evaluating combination 36/48: {'n_clusters': 12, 'n_neighbors': 100}
INFO: Evaluating combination 37/48: {'n_clusters': 13, 'n_neighbors': 10}
INFO: Evaluating combination 38/48: {'n_clusters': 13, 'n_neighbors': 30}
INFO: Evaluating combination 39/48: {'n_clusters': 13, 'n_neighbors': 50}
INFO: Evaluating combination 40/48: {'n_clusters': 13, 'n_neighbors': 100}
INFO: Evaluating combination 41/48: {'n_clusters': 14, 'n_neighbors': 10}
INFO: Evaluating combination 42/48: {'n_clusters': 14, 'n_neighbors': 30}
INFO: Evaluating combination 43/48: {'n_clusters': 14, 'n_neighbors': 50}
INFO: Evaluating combination 44/48: {'n_clusters': 14, 'n_neighbors': 100}
INFO: Evaluating combination 45/48: {'n_clusters': 15, 'n_neighbors': 10}
INFO: Evaluating combination 46/48: {'n_clusters': 15, 'n_neighbors': 30}
INFO: Evaluating combination 47/48: {'n_clusters': 15, 'n_neighbors': 50}
INFO: Evaluating combination 48/48: {'n_clusters': 15, 'n_neighbors': 100}
INFO: [spectral] eigengap plot written to results/lesion/dim_reduction_clustering/tsne/spectral/tuning/29-07_s1.1_volOFF_p30/eigengap_plot.png
INFO: [spectral] tuning results written to results/lesion/dim_reduction_clustering/tsne/spectral/tuning/29-07_s1.1_volOFF_p30 (48 combination(s) evaluated)
INFO: done - fine-tuning for all 5 method(s) written under results/lesion/dim_reduction_clustering, log written to logs/dim_reduction_clustering/clinical_connectome/dim_reduction_clustering_summary__29-07-26__00-02.log
