INFO: Starting fine-tuning sweep for umap (60 combinations)
INFO: Evaluating combination 1/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.0}
INFO: Evaluating combination 52/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 50, 'min_dist': 0.1}
INFO: Evaluating combination 53/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 50, 'min_dist': 0.5}
INFO: Evaluating combination 54/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 50, 'min_dist': 1.0}
INFO: Evaluating combination 55/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 100, 'min_dist': 0.0}
INFO: Evaluating combination 56/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 100, 'min_dist': 0.01}
INFO: Evaluating combination 57/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 100, 'min_dist': 0.05}
INFO: Evaluating combination 58/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 100, 'min_dist': 0.1}
INFO: Evaluating combination 59/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 100, 'min_dist': 0.5}
INFO: Evaluating combination 60/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 100, 'min_dist': 1.0}
INFO: skipping embeddings_grid for results/sdc/dim_reduction/tuning/umap/28-08_s2.2/metric=euclidean/n_components=3: n_components=3 (only n_components=2 combinations get this diagnostic - see scripts/plot_tuning_embedding_3d.py for an on-demand 3D view of a specific combination)
INFO: tuning results written to results/sdc/dim_reduction/tuning/umap/28-08_s2.2 (60 combinations evaluated)
INFO: done - tuning results written to results/sdc/dim_reduction/tuning/umap/28-08_s2.2, log written to logs/dim_reduction/clinical_connectome/dim_reduction__28-08-26__00-23-23.log
INFO: run duration: 0:01:48
