INFO: Starting fine-tuning sweep for umap (60 combinations)
INFO: Evaluating combination 1/60: {'metric': 'jaccard', 'n_components': 5, 'regress_out_volume': False, 'n_neighbors': 5, 'min_dist': 0.0}
INFO: Evaluating combination 39/60: {'metric': 'dice', 'n_components': 5, 'regress_out_volume': False, 'n_neighbors': 30, 'min_dist': 0.25}
INFO: Evaluating combination 40/60: {'metric': 'dice', 'n_components': 5, 'regress_out_volume': False, 'n_neighbors': 50, 'min_dist': 0.0}
INFO: Evaluating combination 41/60: {'metric': 'dice', 'n_components': 5, 'regress_out_volume': False, 'n_neighbors': 50, 'min_dist': 0.1}
INFO: Evaluating combination 42/60: {'metric': 'dice', 'n_components': 5, 'regress_out_volume': False, 'n_neighbors': 50, 'min_dist': 0.25}
INFO: Evaluating combination 43/60: {'metric': 'dice', 'n_components': 5, 'regress_out_volume': False, 'n_neighbors': 100, 'min_dist': 0.0}
INFO: Evaluating combination 44/60: {'metric': 'dice', 'n_components': 5, 'regress_out_volume': False, 'n_neighbors': 100, 'min_dist': 0.1}
INFO: Evaluating combination 45/60: {'metric': 'dice', 'n_components': 5, 'regress_out_volume': False, 'n_neighbors': 100, 'min_dist': 0.25}
INFO: Evaluating combination 46/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 5, 'min_dist': 0.0}
INFO: Evaluating combination 47/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 5, 'min_dist': 0.1}
INFO: Evaluating combination 48/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 5, 'min_dist': 0.25}
INFO: Evaluating combination 49/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 15, 'min_dist': 0.0}
INFO: Evaluating combination 50/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 15, 'min_dist': 0.1}
INFO: Evaluating combination 51/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 15, 'min_dist': 0.25}
INFO: Evaluating combination 52/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 30, 'min_dist': 0.0}
INFO: Evaluating combination 53/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 30, 'min_dist': 0.1}
INFO: Evaluating combination 54/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 30, 'min_dist': 0.25}
INFO: Evaluating combination 55/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 50, 'min_dist': 0.0}
INFO: Evaluating combination 56/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 50, 'min_dist': 0.1}
INFO: Evaluating combination 57/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 50, 'min_dist': 0.25}
INFO: Evaluating combination 58/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 100, 'min_dist': 0.0}
INFO: Evaluating combination 59/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 100, 'min_dist': 0.1}
INFO: Evaluating combination 60/60: {'metric': 'dice', 'n_components': 10, 'regress_out_volume': False, 'n_neighbors': 100, 'min_dist': 0.25}
INFO: tuning results written to results/lesion/dim_reduction/umap/tuning/04-08_s1.1 (60 combinations evaluated)
INFO: done - tuning results written to results/lesion/dim_reduction/umap/tuning/04-08_s1.1, log written to logs/dim_reduction/clinical_connectome/dim_reduction_summary__04-08-26__16-15.log
